        0.000000000       -1.685000000    0  255    0    0
        0.007950099       -1.684079621    0  254    0    0
        0.015900199       -1.681320886    0  254    0    0
        0.023850298       -1.676730994    0  254    0    0
        0.031800397       -1.670321913    0  254    0    0
        0.039750497       -1.662110339    0  254    0    0
        0.047700596       -1.652117629    0  254    0    0
        0.055650695       -1.640369729    0  254    0    0
        0.063600794       -1.626897078    0  254    0    0
        0.071550894       -1.611734492    0  254    0    0
        0.079500993       -1.594921043    0  254    0    0
        0.087451092       -1.576499914    0  254    0    0
        0.095401192       -1.556518245    0  254    0    0
        0.103351291       -1.535026959    0  254    0    0
        0.111301390       -1.512080581    0  254    0    0
        0.119251490       -1.487737045    0  254    0    0
        0.127201589       -1.462057480    0  254    0    0
        0.135151688       -1.435106002    0  254    0    0
        0.143101787       -1.406949478    0  254    0    0
        0.151051887       -1.377657298    0  254    0    0
        0.159001986       -1.347301128    0  254    0    0
        0.166952085       -1.315954663    0  254    0    0
        0.174902185       -1.283693371    0  254    0    0
        0.182852284       -1.250594237    0  254    0    0
        0.190802383       -1.216735498    0  254    0    0
        0.198752483       -1.182196385    0  254    0    0
        0.206702582       -1.147056851    0  254    0    0
        0.214652681       -1.111397314    0  254    0    0
        0.222602781       -1.075298390    0  254    0    0
        0.230552880       -1.038840634    0  254    0    0
        0.238502979       -1.002104286    0  254    0    0
        0.246453078       -0.965169016    0  254    0    0
        0.254403178       -0.928113679    0  254    0    0
        0.262353277       -0.891016074    1  253    0    0
        0.270303376       -0.853952717    1  253    0    0
        0.278253476       -0.816998611    1  253    0    0
        0.286203575       -0.780227039    1  253    0    0
        0.294153674       -0.743709355    1  253    0    0
        0.302103774       -0.707514796    1  253    0    0
        0.310053873       -0.671710301    1  253    0    0
        0.318003972       -0.636360340    2  252    0    0
        0.325954072       -0.601526767    2  252    0    0
        0.333904171       -0.567268673    2  252    0    0
        0.341854270       -0.533642266    2  252    0    0
        0.349804369       -0.500700763    3  251    0    0
        0.357754469       -0.468494293    3  251    0    0
        0.365704568       -0.437069827    3  251    0    0
        0.373654667       -0.406471119    4  250    0    0
        0.381604767       -0.376738673    4  250    0    0
        0.389554866       -0.347909726    5  249    0    0
        0.397504965       -0.320018261    6  248    0    0
        0.405455065       -0.293095043    6  248    0    0
        0.413405164       -0.267167691    7  247    0    0
        0.421355263       -0.242260782    8  246    0    0
        0.429305362       -0.218396007    9  245    0    0
        0.437255462       -0.195592390   11  243    0    0
        0.445205561       -0.173866571   13  241    0    0
        0.453155660       -0.153233206   15  239    0    0
        0.461105760       -0.133705507   17  237    0    0
        0.469055859       -0.115295969   20  234    0    0
        0.477005958       -0.098017378   24  230    0    0
        0.484956058       -0.081884182   29  225    0    0
        0.492906157       -0.066914341   35  219    0    0
        0.500856256       -0.053131700   43  211    0    0
        0.508806356       -0.040568719   53  201    0    0
        0.516756455       -0.029268676   66  188    0    0
        0.524706554       -0.019284872   84  170    0    0
        0.532656653       -0.010671775  105  149    0    0
        0.540606753       -0.003461849  130  124    0    0
        0.548556852        0.002370726  156   98    0    0
        0.556506951        0.006938709  181   73    0    0
        0.564457051        0.010433168  203   51    0    0
        0.572407150        0.013077209  219   35    0    0
        0.580357249        0.015076467  231   23    0    0
        0.588307349        0.016593397  239   15    0    0
        0.596257448        0.017744692  245    9    0    0
        0.604207547        0.018609600  249    5    0    0
        0.612157647        0.019240130  252    2    0    0
        0.620107746        0.019669571  253    1    0    0
        0.628057845        0.019918689  254    0    0    0
        0.636007944        0.020000000  254    0    0    0
        0.636007944        0.020000000  254    0    0    0
        0.639982994        0.019980017  254    0    0    0
        0.643958044        0.019920460  254    0    0    0
        0.647933093        0.019821698  254    0    0    0
        0.651908143        0.019683973  254    0    0    0
        0.655883193        0.019507427  253    1    0    0
        0.659858242        0.019292126  252    2    0    0
        0.663833292        0.019038083  252    2    0    0
        0.667808342        0.018745275  251    3    0    0
        0.671783391        0.018413655  250    4    0    0
        0.675758441        0.018043169  249    5    0    0
        0.679733491        0.017633759  248    6    0    0
        0.683708540        0.017185380  246    8    0    0
        0.687683590        0.016698002  245    9    0    0
        0.691658640        0.016171618  243   11    0    0
        0.695633689        0.015606251  241   13    0    0
        0.699608739        0.015001960  240   14    0    0
        0.703583788        0.014358843  237   17    0    0
        0.707558838        0.013677044  235   19    0    0
        0.711533888        0.012956756  233   21    0    0
        0.715508937        0.012198231  230   24    0    0
        0.719483987        0.011401779  227   27    0    0
        0.723459037        0.010567777  224   30    0    0
        0.727434086        0.009696677  221   33    0    0
        0.731409136        0.008789009  217   37    0    0
        0.735384186        0.007845392  214   40    0    0
        0.739359235        0.006866537  210   44    0    0
        0.743334285        0.005853262  206   48    0    0
        0.747309335        0.004806491  201   53    0    0
        0.751284384        0.003727270  196   58    0    0
        0.755259434        0.002616770  192   62    0    0
        0.759234484        0.001476298  186   68    0    0
        0.763209533        0.000307298  181   73    0    0
        0.767184583       -0.000888638  176   78    0    0
        0.771159632       -0.002109775  170   84    0    0
        0.775134682       -0.003354225  164   90    0    0
        0.779109732       -0.004619958  158   96    0    0
        0.783084781       -0.005904799  152  102    0    0
        0.787059831       -0.007206440  146  108    0    0
        0.791034881       -0.008522450  139  115    0    0
        0.795009930       -0.009850282  133  121    0    0
        0.798984980       -0.011187296  127  127    0    0
