
0.072     0.000     0.0024    
0.072     0.0005    0.002249
0.072     0.001     0.002095
0.072     0.0015    0.001940
0.072     0.002     0.001785
0.072     0.0025    0.001629
0.072     0.003     0.001473
0.072     0.0035    0.001316
0.072     0.004     0.001159

0.073     0.000     0.0024 
0.073     0.0005    0.002284
0.073     0.001     0.002150
0.073     0.0015    0.001958
0.073     0.002     0.001767
0.073     0.0025    0.001582
0.073     0.003     0.001407
0.073     0.0035    0.001244
0.073     0.004     0.000900

0.074     0.000     0.0024
0.074     0.0005    0.002264
0.074     0.001     0.002107
0.074     0.0015    0.001950
0.074     0.002     0.001793
0.074     0.0025    0.001626
0.074     0.003     0.000757
0.074     0.0035    0.000110 
0.074     0.004     0.000891

0.0745    0.003     0.000144

0.075     0.000     0.0024
0.075     0.0005    0.002291
0.075     0.001     0.002179
0.075     0.0015    0.001611
0.075     0.002     0.000739
0.075     0.0025    0.000132
0.075     0.003     0.001001
0.075     0.0035    0.001385
0.075     0.004     0.001424

0.0755    0.000     0.0024 
0.0755    0.0005    0.002270
0.0755    0.001     0.001707
0.0755    0.0015    0.000833
0.0755    0.002     0.000039
0.0755    0.0025    0.000911
0.0755    0.003     0.001558
0.0755    0.0035    0.001401
0.0755    0.004     0.001245

0.076     0.000     0.0024
0.076     0.0005    0.001949
0.076     0.001     0.001073
0.076     0.0015    0.000199
0.076     0.002     0.000675
0.076     0.0025    0.001548
0.076     0.003     0.001470
0.076     0.0035    0.001312 
0.076     0.004     0.001153

0.077     0.000     0.0024
0.077     0.0005    0.001577
0.077     0.001     0.000700
0.077     0.0015    0.000177
0.077     0.002     0.001054
0.077     0.0025    0.001807
0.077     0.003     0.001674
0.077     0.0035    0.001532
0.077     0.004     0.001375

0.0775    0.000     0.0024
0.0775    0.0005    0.001938
0.0775    0.001     0.001082
0.0775    0.0015    0.000203
0.0775    0.002     0.000676
0.0775    0.0025    0.001555
0.0775    0.003     0.001451
0.0775    0.0035    0.001293
0.0775    0.004     0.001134

0.078     0.000     0.0024
0.078     0.0005    0.002197
0.078     0.001     0.001617
0.078     0.0015    0.000840
0.078     0.002     0.000040
0.078     0.0025    0.000921
0.078     0.003     0.001613
0.078     0.0035    0.001453 
0.078     0.004     0.001293

0.0785    0.000     0.0024
0.0785    0.0005    0.002271
0.0785    0.001     0.001879
0.0785    0.0015    0.001386
0.0785    0.002     0.000738
0.0785    0.0025    0.000143
0.0785    0.003     0.001026
0.0785    0.0035    0.001494
0.0785    0.004     0.001364

0.079     0.000     0.0024
0.079     0.0005    0.002269
0.079     0.001     0.002030
0.079     0.0015    0.001689
0.079     0.002     0.001239
0.079     0.0025    0.000678
0.079     0.003     0.000170
0.079     0.0035    0.001054
0.079     0.004     0.001173

0.080     0.000     0.0024
0.080     0.0005    0.002263
0.080     0.001     0.002125
0.080     0.0015    0.001920
0.080     0.002     0.001703
0.080     0.0025    0.001313
0.080     0.003     0.000992
0.080     0.0035    0.000592
0.080     0.004     0.000112

0.081     0.000     0.0024
0.081     0.0005    0.002248
0.081     0.001     0.002088
0.081     0.0015    0.001928
0.081     0.002     0.001768
0.081     0.0025    0.001608
0.081     0.003     0.001353
0.081     0.0035    0.001144
0.081     0.004     0.000894

0.082     0.000     0.0024
0.082     0.0005    0.002230
0.082     0.001     0.002059
0.082     0.0015    0.001889
0.082     0.002     0.001718
0.082     0.0025    0.001547
0.082     0.003     0.001374
0.082     0.0035    0.001200
0.082     0.004     0.001027


