TSC model in  Ref:Nature 588, 424-428 (2020)
4
17
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1
       0       0       0       1       1        0.1950000000        0.0000000000
       0       0       0       1       2        0.0000000000        0.0000000000
       0       0       0       1       3        0.0000000000        0.0000000000
       0       0       0       1       4        0.0000000000        0.0000000000
       0       0       0       2       1        0.0000000000        0.0000000000
       0       0       0       2       2       -0.5550000000        0.0000000000
       0       0       0       2       3        0.0000000000        0.0000000000
       0       0       0       2       4       -0.0000000000        0.0000000000
       0       0       0       3       1        0.0000000000        0.0000000000
       0       0       0       3       2        0.0000000000        0.0000000000
       0       0       0       3       3        0.1950000000        0.0000000000
       0       0       0       3       4        0.0000000000        0.0000000000
       0       0       0       4       1        0.0000000000        0.0000000000
       0       0       0       4       2       -0.0000000000        0.0000000000
       0       0       0       4       3        0.0000000000        0.0000000000
       0       0       0       4       4       -0.5550000000        0.0000000000
       1       0       0       1       1        0.0450000000        0.0000000000
       1       0       0       1       2        0.0000000000        0.0000000000
       1       0       0       1       3        0.0000000000        0.0000000000
       1       0       0       1       4        0.0000000000        0.0200000000
       1       0       0       2       1        0.0000000000        0.0000000000
       1       0       0       2       2       -0.1950000000        0.0000000000
       1       0       0       2       3        0.0000000000        0.0200000000
       1       0       0       2       4       -0.0000000000        0.0000000000
       1       0       0       3       1        0.0000000000        0.0000000000
       1       0       0       3       2        0.0000000000        0.0200000000
       1       0       0       3       3        0.0450000000        0.0000000000
       1       0       0       3       4        0.0000000000        0.0000000000
       1       0       0       4       1        0.0000000000        0.0200000000
       1       0       0       4       2       -0.0000000000        0.0000000000
       1       0       0       4       3        0.0000000000        0.0000000000
       1       0       0       4       4       -0.1950000000        0.0000000000
      -1       0       0       1       1        0.0450000000        0.0000000000
      -1       0       0       1       2        0.0000000000        0.0000000000
      -1       0       0       1       3        0.0000000000        0.0000000000
      -1       0       0       1       4        0.0000000000       -0.0200000000
      -1       0       0       2       1        0.0000000000        0.0000000000
      -1       0       0       2       2       -0.1950000000        0.0000000000
      -1       0       0       2       3        0.0000000000       -0.0200000000
      -1       0       0       2       4        0.0000000000        0.0000000000
      -1       0       0       3       1        0.0000000000        0.0000000000
      -1       0       0       3       2        0.0000000000       -0.0200000000
      -1       0       0       3       3        0.0450000000        0.0000000000
      -1       0       0       3       4        0.0000000000        0.0000000000
      -1       0       0       4       1        0.0000000000       -0.0200000000
      -1       0       0       4       2        0.0000000000        0.0000000000
      -1       0       0       4       3        0.0000000000        0.0000000000
      -1       0       0       4       4       -0.1950000000        0.0000000000
       0       1       0       1       1        0.0450000000        0.0000000000
       0       1       0       1       2        0.0000000000        0.0000000000
       0       1       0       1       3        0.0000000000        0.0000000000
       0       1       0       1       4        0.0173205081       -0.0100000000
       0       1       0       2       1        0.0000000000        0.0000000000
       0       1       0       2       2       -0.1950000000        0.0000000000
       0       1       0       2       3        0.0173205081       -0.0100000000
       0       1       0       2       4        0.0000000000        0.0000000000
       0       1       0       3       1        0.0000000000        0.0000000000
       0       1       0       3       2       -0.0173205081       -0.0100000000
       0       1       0       3       3        0.0450000000        0.0000000000
       0       1       0       3       4        0.0000000000        0.0000000000
       0       1       0       4       1       -0.0173205081       -0.0100000000
       0       1       0       4       2        0.0000000000        0.0000000000
       0       1       0       4       3        0.0000000000        0.0000000000
       0       1       0       4       4       -0.1950000000        0.0000000000
       0      -1       0       1       1        0.0450000000        0.0000000000
       0      -1       0       1       2        0.0000000000        0.0000000000
       0      -1       0       1       3        0.0000000000        0.0000000000
       0      -1       0       1       4       -0.0173205081        0.0100000000
       0      -1       0       2       1        0.0000000000        0.0000000000
       0      -1       0       2       2       -0.1950000000        0.0000000000
       0      -1       0       2       3       -0.0173205081        0.0100000000
       0      -1       0       2       4       -0.0000000000        0.0000000000
       0      -1       0       3       1        0.0000000000        0.0000000000
       0      -1       0       3       2        0.0173205081        0.0100000000
       0      -1       0       3       3        0.0450000000        0.0000000000
       0      -1       0       3       4        0.0000000000        0.0000000000
       0      -1       0       4       1        0.0173205081        0.0100000000
       0      -1       0       4       2       -0.0000000000        0.0000000000
       0      -1       0       4       3        0.0000000000        0.0000000000
       0      -1       0       4       4       -0.1950000000        0.0000000000
       1       1       0       1       1        0.0450000000        0.0000000000
       1       1       0       1       2        0.0000000000        0.0000000000
       1       1       0       1       3        0.0000000000        0.0000000000
       1       1       0       1       4        0.0173205081        0.0100000000
       1       1       0       2       1        0.0000000000        0.0000000000
       1       1       0       2       2       -0.1950000000        0.0000000000
       1       1       0       2       3        0.0173205081        0.0100000000
       1       1       0       2       4        0.0000000000        0.0000000000
       1       1       0       3       1        0.0000000000        0.0000000000
       1       1       0       3       2       -0.0173205081        0.0100000000
       1       1       0       3       3        0.0450000000        0.0000000000
       1       1       0       3       4        0.0000000000        0.0000000000
       1       1       0       4       1       -0.0173205081        0.0100000000
       1       1       0       4       2        0.0000000000        0.0000000000
       1       1       0       4       3        0.0000000000        0.0000000000
       1       1       0       4       4       -0.1950000000        0.0000000000
      -1      -1       0       1       1        0.0450000000        0.0000000000
      -1      -1       0       1       2        0.0000000000        0.0000000000
      -1      -1       0       1       3        0.0000000000        0.0000000000
      -1      -1       0       1       4       -0.0173205081       -0.0100000000
      -1      -1       0       2       1        0.0000000000        0.0000000000
      -1      -1       0       2       2       -0.1950000000        0.0000000000
      -1      -1       0       2       3       -0.0173205081       -0.0100000000
      -1      -1       0       2       4        0.0000000000        0.0000000000
      -1      -1       0       3       1        0.0000000000        0.0000000000
      -1      -1       0       3       2        0.0173205081       -0.0100000000
      -1      -1       0       3       3        0.0450000000        0.0000000000
      -1      -1       0       3       4        0.0000000000        0.0000000000
      -1      -1       0       4       1        0.0173205081       -0.0100000000
      -1      -1       0       4       2        0.0000000000        0.0000000000
      -1      -1       0       4       3        0.0000000000        0.0000000000
      -1      -1       0       4       4       -0.1950000000        0.0000000000
       0       0       1       1       1       -0.0500000000        0.0000000000
       0       0       1       1       2       -0.0250000000        0.0000000000
       0       0       1       1       3        0.0000000000        0.0000000000
       0       0       1       1       4        0.0000000000        0.0000000000
       0       0       1       2       1        0.0250000000        0.0000000000
       0       0       1       2       2        0.0500000000        0.0000000000
       0       0       1       2       3        0.0000000000        0.0000000000
       0       0       1       2       4        0.0000000000        0.0000000000
       0       0       1       3       1        0.0000000000        0.0000000000
       0       0       1       3       2        0.0000000000        0.0000000000
       0       0       1       3       3       -0.0500000000        0.0000000000
       0       0       1       3       4       -0.0250000000        0.0000000000
       0       0       1       4       1        0.0000000000        0.0000000000
       0       0       1       4       2        0.0000000000        0.0000000000
       0       0       1       4       3        0.0250000000        0.0000000000
       0       0       1       4       4        0.0500000000        0.0000000000
       0       0      -1       1       1       -0.0500000000        0.0000000000
       0       0      -1       1       2        0.0250000000        0.0000000000
       0       0      -1       1       3       -0.0000000000        0.0000000000
       0       0      -1       1       4       -0.0000000000        0.0000000000
       0       0      -1       2       1       -0.0250000000        0.0000000000
       0       0      -1       2       2        0.0500000000        0.0000000000
       0       0      -1       2       3       -0.0000000000        0.0000000000
       0       0      -1       2       4        0.0000000000        0.0000000000
       0       0      -1       3       1       -0.0000000000        0.0000000000
       0       0      -1       3       2       -0.0000000000        0.0000000000
       0       0      -1       3       3       -0.0500000000        0.0000000000
       0       0      -1       3       4        0.0250000000        0.0000000000
       0       0      -1       4       1       -0.0000000000        0.0000000000
       0       0      -1       4       2        0.0000000000        0.0000000000
       0       0      -1       4       3       -0.0250000000        0.0000000000
       0       0      -1       4       4        0.0500000000        0.0000000000
       0       0       2       1       1       -0.0000000000        0.0000000000
       0       0       2       1       2       -0.0000000000        0.0000000000
       0       0       2       1       3       -0.0000000000        0.0000000000
       0       0       2       1       4       -0.0000000000        0.0000000000
       0       0       2       2       1       -0.0000000000        0.0000000000
       0       0       2       2       2        0.0000000000        0.0000000000
       0       0       2       2       3       -0.0000000000        0.0000000000
       0       0       2       2       4        0.0000000000        0.0000000000
       0       0       2       3       1       -0.0000000000        0.0000000000
       0       0       2       3       2       -0.0000000000        0.0000000000
       0       0       2       3       3       -0.0000000000        0.0000000000
       0       0       2       3       4       -0.0000000000        0.0000000000
       0       0       2       4       1       -0.0000000000        0.0000000000
       0       0       2       4       2        0.0000000000        0.0000000000
       0       0       2       4       3       -0.0000000000        0.0000000000
       0       0       2       4       4        0.0000000000        0.0000000000
       0       0      -2       1       1       -0.0000000000        0.0000000000
       0       0      -2       1       2       -0.0000000000        0.0000000000
       0       0      -2       1       3       -0.0000000000        0.0000000000
       0       0      -2       1       4       -0.0000000000        0.0000000000
       0       0      -2       2       1       -0.0000000000        0.0000000000
       0       0      -2       2       2        0.0000000000        0.0000000000
       0       0      -2       2       3       -0.0000000000        0.0000000000
       0       0      -2       2       4        0.0000000000        0.0000000000
       0       0      -2       3       1       -0.0000000000        0.0000000000
       0       0      -2       3       2       -0.0000000000        0.0000000000
       0       0      -2       3       3       -0.0000000000        0.0000000000
       0       0      -2       3       4       -0.0000000000        0.0000000000
       0       0      -2       4       1       -0.0000000000        0.0000000000
       0       0      -2       4       2        0.0000000000        0.0000000000
       0       0      -2       4       3       -0.0000000000        0.0000000000
       0       0      -2       4       4        0.0000000000        0.0000000000
       2       1       0       1       1        0.0100000000        0.0000000000
       2       1       0       1       2        0.0000000000        0.0000000000
       2       1       0       1       3        0.0000000000        0.0000000000
       2       1       0       1       4        0.0000000000        0.0000000000
       2       1       0       2       1        0.0000000000        0.0000000000
       2       1       0       2       2       -0.0100000000        0.0000000000
       2       1       0       2       3        0.0000000000        0.0000000000
       2       1       0       2       4       -0.0000000000        0.0000000000
       2       1       0       3       1        0.0000000000        0.0000000000
       2       1       0       3       2        0.0000000000        0.0000000000
       2       1       0       3       3        0.0100000000        0.0000000000
       2       1       0       3       4        0.0000000000        0.0000000000
       2       1       0       4       1        0.0000000000        0.0000000000
       2       1       0       4       2       -0.0000000000        0.0000000000
       2       1       0       4       3        0.0000000000        0.0000000000
       2       1       0       4       4       -0.0100000000        0.0000000000
      -2      -1       0       1       1        0.0100000000        0.0000000000
      -2      -1       0       1       2        0.0000000000        0.0000000000
      -2      -1       0       1       3        0.0000000000        0.0000000000
      -2      -1       0       1       4        0.0000000000        0.0000000000
      -2      -1       0       2       1        0.0000000000        0.0000000000
      -2      -1       0       2       2       -0.0100000000        0.0000000000
      -2      -1       0       2       3        0.0000000000        0.0000000000
      -2      -1       0       2       4       -0.0000000000        0.0000000000
      -2      -1       0       3       1        0.0000000000        0.0000000000
      -2      -1       0       3       2        0.0000000000        0.0000000000
      -2      -1       0       3       3        0.0100000000        0.0000000000
      -2      -1       0       3       4        0.0000000000        0.0000000000
      -2      -1       0       4       1        0.0000000000        0.0000000000
      -2      -1       0       4       2       -0.0000000000        0.0000000000
      -2      -1       0       4       3        0.0000000000        0.0000000000
      -2      -1       0       4       4       -0.0100000000        0.0000000000
      -1       1       0       1       1        0.0100000000        0.0000000000
      -1       1       0       1       2        0.0000000000        0.0000000000
      -1       1       0       1       3        0.0000000000        0.0000000000
      -1       1       0       1       4        0.0000000000        0.0000000000
      -1       1       0       2       1        0.0000000000        0.0000000000
      -1       1       0       2       2       -0.0100000000        0.0000000000
      -1       1       0       2       3        0.0000000000        0.0000000000
      -1       1       0       2       4       -0.0000000000        0.0000000000
      -1       1       0       3       1        0.0000000000        0.0000000000
      -1       1       0       3       2        0.0000000000        0.0000000000
      -1       1       0       3       3        0.0100000000        0.0000000000
      -1       1       0       3       4        0.0000000000        0.0000000000
      -1       1       0       4       1        0.0000000000        0.0000000000
      -1       1       0       4       2       -0.0000000000        0.0000000000
      -1       1       0       4       3        0.0000000000        0.0000000000
      -1       1       0       4       4       -0.0100000000        0.0000000000
       1      -1       0       1       1        0.0100000000        0.0000000000
       1      -1       0       1       2        0.0000000000        0.0000000000
       1      -1       0       1       3        0.0000000000        0.0000000000
       1      -1       0       1       4        0.0000000000        0.0000000000
       1      -1       0       2       1        0.0000000000        0.0000000000
       1      -1       0       2       2       -0.0100000000        0.0000000000
       1      -1       0       2       3        0.0000000000        0.0000000000
       1      -1       0       2       4       -0.0000000000        0.0000000000
       1      -1       0       3       1        0.0000000000        0.0000000000
       1      -1       0       3       2        0.0000000000        0.0000000000
       1      -1       0       3       3        0.0100000000        0.0000000000
       1      -1       0       3       4        0.0000000000        0.0000000000
       1      -1       0       4       1        0.0000000000        0.0000000000
       1      -1       0       4       2       -0.0000000000        0.0000000000
       1      -1       0       4       3        0.0000000000        0.0000000000
       1      -1       0       4       4       -0.0100000000        0.0000000000
      -1      -2       0       1       1        0.0100000000        0.0000000000
      -1      -2       0       1       2        0.0000000000        0.0000000000
      -1      -2       0       1       3        0.0000000000        0.0000000000
      -1      -2       0       1       4        0.0000000000        0.0000000000
      -1      -2       0       2       1        0.0000000000        0.0000000000
      -1      -2       0       2       2       -0.0100000000        0.0000000000
      -1      -2       0       2       3        0.0000000000        0.0000000000
      -1      -2       0       2       4       -0.0000000000        0.0000000000
      -1      -2       0       3       1        0.0000000000        0.0000000000
      -1      -2       0       3       2        0.0000000000        0.0000000000
      -1      -2       0       3       3        0.0100000000        0.0000000000
      -1      -2       0       3       4        0.0000000000        0.0000000000
      -1      -2       0       4       1        0.0000000000        0.0000000000
      -1      -2       0       4       2       -0.0000000000        0.0000000000
      -1      -2       0       4       3        0.0000000000        0.0000000000
      -1      -2       0       4       4       -0.0100000000        0.0000000000
       1       2       0       1       1        0.0100000000        0.0000000000
       1       2       0       1       2        0.0000000000        0.0000000000
       1       2       0       1       3        0.0000000000        0.0000000000
       1       2       0       1       4        0.0000000000        0.0000000000
       1       2       0       2       1        0.0000000000        0.0000000000
       1       2       0       2       2       -0.0100000000        0.0000000000
       1       2       0       2       3        0.0000000000        0.0000000000
       1       2       0       2       4       -0.0000000000        0.0000000000
       1       2       0       3       1        0.0000000000        0.0000000000
       1       2       0       3       2        0.0000000000        0.0000000000
       1       2       0       3       3        0.0100000000        0.0000000000
       1       2       0       3       4        0.0000000000        0.0000000000
       1       2       0       4       1        0.0000000000        0.0000000000
       1       2       0       4       2       -0.0000000000        0.0000000000
       1       2       0       4       3        0.0000000000        0.0000000000
       1       2       0       4       4       -0.0100000000        0.0000000000
